Адр,МК,IP,CR,AR,DR,SP,BR,AC,PS,NZVCСчМК
05,810C404002,424,0000,423,0000,000,0423,0000,004,010006
06,810C204002,424,0000,423,0000,000,0423,0000,004,010007
07,8078104002,424,0000,423,0000,000,0423,0000,004,010078
78,81A4084002,424,0000,423,0000,000,0423,0000,004,010079
79,8189044002,424,0000,423,0000,000,0423,0000,004,01007A
7A,817D024002,424,0000,423,0000,000,0423,0000,004,01007B
7B,80C4014002,424,0000,423,0000,000,0423,0000,004,0100C4
C4,80DE801040,424,0000,423,0000,000,0423,0000,004,0100DE
DE,4000000000,424,0000,423,0000,000,0423,0000,004,0100DF
DF,8001101040,424,0000,423,0000,000,0423,0000,004,010001
01,00A0009004,424,0000,424,0000,000,0424,0000,004,010002
02,0104009420,425,0000,424,0000,000,0424,0000,004,010003
03,0002009001,425,0000,424,0000,000,0424,0000,004,010004
04,8109804002,425,0000,424,0000,000,0424,0000,004,010005
05,810C404002,425,0000,424,0000,000,0424,0000,004,010006
06,810C204002,425,0000,424,0000,000,0424,0000,004,010007
07,8078104002,425,0000,424,0000,000,0424,0000,004,010078
78,81A4084002,425,0000,424,0000,000,0424,0000,004,010079
79,8189044002,425,0000,424,0000,000,0424,0000,004,01007A
7A,817D024002,425,0000,424,0000,000,0424,0000,004,01007B
7B,80C4014002,425,0000,424,0000,000,0424,0000,004,0100C4
C4,80DE801040,425,0000,424,0000,000,0424,0000,004,0100DE
DE,4000000000,425,0000,424,0000,000,0424,0000,004,0100DF
DF,8001101040,425,0000,424,0000,000,0424,0000,004,010001
01,00A0009004,425,0000,425,0000,000,0425,0000,004,010002
02,0104009420,426,0000,425,0000,000,0425,0000,004,010003
03,0002009001,426,0000,425,0000,000,0425,0000,004,010004
04,8109804002,426,0000,425,0000,000,0425,0000,004,010005
05,810C404002,426,0000,425,0000,000,0425,0000,004,010006
06,810C204002,426,0000,425,0000,000,0425,0000,004,010007
07,8078104002,426,0000,425,0000,000,0425,0000,004,010078
78,81A4084002,426,0000,425,0000,000,0425,0000,004,010079
79,8189044002,426,0000,425,0000,000,0425,0000,004,01007A
7A,817D024002,426,0000,425,0000,000,0425,0000,004,01007B
7B,80C4014002,426,0000,425,0000,000,0425,0000,004,0100C4
C4,80DE801040,426,0000,425,0000,000,0425,0000,004,0100DE
DE,4000000000,426,0000,425,0000,000,0425,0000,004,0100DF
DF,8001101040,426,0000,425,0000,000,0425,0000,004,010001
01,00A0009004,426,0000,426,0000,000,0426,0000,004,010002
02,0104009420,427,0000,426,0000,000,0426,0000,004,010003
03,0002009001,427,0000,426,0000,000,0426,0000,004,010004
04,8109804002,427,0000,426,0000,000,0426,0000,004,010005
05,810C404002,427,0000,426,0000,000,0426,0000,004,010006
06,810C204002,427,0000,426,0000,000,0426,0000,004,010007
07,8078104002,427,0000,426,0000,000,0426,0000,004,010078
78,81A4084002,427,0000,426,0000,000,0426,0000,004,010079
79,8189044002,427,0000,426,0000,000,0426,0000,004,01007A
7A,817D024002,427,0000,426,0000,000,0426,0000,004,01007B
7B,80C4014002,427,0000,426,0000,000,0426,0000,004,0100C4
C4,80DE801040,427,0000,426,0000,000,0426,0000,004,0100DE
DE,4000000000,427,0000,426,0000,000,0426,0000,004,0100DF
DF,8001101040,427,0000,426,0000,000,0426,0000,004,010001
01,00A0009004,427,0000,427,0000,000,0427,0000,004,010002
02,0104009420,428,0000,427,0000,000,0427,0000,004,010003
03,0002009001,428,0000,427,0000,000,0427,0000,004,010004
04,8109804002,428,0000,427,0000,000,0427,0000,004,010005
05,810C404002,428,0000,427,0000,000,0427,0000,004,010006
06,810C204002,428,0000,427,0000,000,0427,0000,004,010007
07,8078104002,428,0000,427,0000,000,0427,0000,004,010078
78,81A4084002,428,0000,427,0000,000,0427,0000,004,010079
79,8189044002,428,0000,427,0000,000,0427,0000,004,01007A
7A,817D024002,428,0000,427,0000,000,0427,0000,004,01007B
7B,80C4014002,428,0000,427,0000,000,0427,0000,004,0100C4
C4,80DE801040,428,0000,427,0000,000,0427,0000,004,0100DE
DE,4000000000,428,0000,427,0000,000,0427,0000,004,0100DF
DF,8001101040,428,0000,427,0000,000,0427,0000,004,010001
01,00A0009004,428,0000,428,0000,000,0428,0000,004,010002
02,0104009420,429,0000,428,0000,000,0428,0000,004,010003
03,0002009001,429,0000,428,0000,000,0428,0000,004,010004
04,8109804002,429,0000,428,0000,000,0428,0000,004,010005
05,810C404002,429,0000,428,0000,000,0428,0000,004,010006
06,810C204002,429,0000,428,0000,000,0428,0000,004,010007
07,8078104002,429,0000,428,0000,000,0428,0000,004,010078
78,81A4084002,429,0000,428,0000,000,0428,0000,004,010079
79,8189044002,429,0000,428,0000,000,0428,0000,004,01007A
7A,817D024002,429,0000,428,0000,000,0428,0000,004,01007B
7B,80C4014002,429,0000,428,0000,000,0428,0000,004,0100C4
C4,80DE801040,429,0000,428,0000,000,0428,0000,004,0100DE
DE,4000000000,429,0000,428,0000,000,0428,0000,004,0100DF
DF,8001101040,429,0000,428,0000,000,0428,0000,004,010001
01,00A0009004,429,0000,429,0000,000,0429,0000,004,010002
02,0104009420,42A,0000,429,0000,000,0429,0000,004,010003
03,0002009001,42A,0000,429,0000,000,0429,0000,004,010004
04,8109804002,42A,0000,429,0000,000,0429,0000,004,010005
05,810C404002,42A,0000,429,0000,000,0429,0000,004,010006
06,810C204002,42A,0000,429,0000,000,0429,0000,004,010007
07,8078104002,42A,0000,429,0000,000,0429,0000,004,010078
78,81A4084002,42A,0000,429,0000,000,0429,0000,004,010079
79,8189044002,42A,0000,429,0000,000,0429,0000,004,01007A
7A,817D024002,42A,0000,429,0000,000,0429,0000,004,01007B
7B,80C4014002,42A,0000,429,0000,000,0429,0000,004,0100C4
C4,80DE801040,42A,0000,429,0000,000,0429,0000,004,0100DE
DE,4000000000,42A,0000,429,0000,000,0429,0000,004,0100DF
DF,8001101040,42A,0000,429,0000,000,0429,0000,004,010001
01,00A0009004,42A,0000,42A,0000,000,042A,0000,004,010002
02,0104009420,42B,0000,42A,0000,000,042A,0000,004,010003
03,0002009001,42B,0000,42A,0000,000,042A,0000,004,010004
04,8109804002,42B,0000,42A,0000,000,042A,0000,004,010005
05,810C404002,42B,0000,42A,0000,000,042A,0000,004,010006
06,810C204002,42B,0000,42A,0000,000,042A,0000,004,010007
07,8078104002,42B,0000,42A,0000,000,042A,0000,004,010078
78,81A4084002,42B,0000,42A,0000,000,042A,0000,004,010079
79,8189044002,42B,0000,42A,0000,000,042A,0000,004,01007A
7A,817D024002,42B,0000,42A,0000,000,042A,0000,004,01007B
7B,80C4014002,42B,0000,42A,0000,000,042A,0000,004,0100C4
C4,80DE801040,42B,0000,42A,0000,000,042A,0000,004,0100DE
DE,4000000000,42B,0000,42A,0000,000,042A,0000,004,0100DF
DF,8001101040,42B,0000,42A,0000,000,042A,0000,004,010001
01,00A0009004,42B,0000,42B,0000,000,042B,0000,004,010002
02,0104009420,42C,0000,42B,0000,000,042B,0000,004,010003
03,0002009001,42C,0000,42B,0000,000,042B,0000,004,010004
04,8109804002,42C,0000,42B,0000,000,042B,0000,004,010005
05,810C404002,42C,0000,42B,0000,000,042B,0000,004,010006
06,810C204002,42C,0000,42B,0000,000,042B,0000,004,010007
07,8078104002,42C,0000,42B,0000,000,042B,0000,004,010078
78,81A4084002,42C,0000,42B,0000,000,042B,0000,004,010079
79,8189044002,42C,0000,42B,0000,000,042B,0000,004,01007A
7A,817D024002,42C,0000,42B,0000,000,042B,0000,004,01007B
7B,80C4014002,42C,0000,42B,0000,000,042B,0000,004,0100C4
C4,80DE801040,42C,0000,42B,0000,000,042B,0000,004,0100DE
DE,4000000000,42C,0000,42B,0000,000,042B,0000,004,0100DF
DF,8001101040,42C,0000,42B,0000,000,042B,0000,004,010001
01,00A0009004,42C,0000,42C,0000,000,042C,0000,004,010002
02,0104009420,42D,0000,42C,0000,000,042C,0000,004,010003
03,0002009001,42D,0000,42C,0000,000,042C,0000,004,010004
04,8109804002,42D,0000,42C,0000,000,042C,0000,004,010005
05,810C404002,42D,0000,42C,0000,000,042C,0000,004,010006
06,810C204002,42D,0000,42C,0000,000,042C,0000,004,010007
07,8078104002,42D,0000,42C,0000,000,042C,0000,004,010078
78,81A4084002,42D,0000,42C,0000,000,042C,0000,004,010079
79,8189044002,42D,0000,42C,0000,000,042C,0000,004,01007A
7A,817D024002,42D,0000,42C,0000,000,042C,0000,004,01007B
7B,80C4014002,42D,0000,42C,0000,000,042C,0000,004,0100C4
C4,80DE801040,42D,0000,42C,0000,000,042C,0000,004,0100DE
DE,4000000000,42D,0000,42C,0000,000,042C,0000,004,0100DF
DF,8001101040,42D,0000,42C,0000,000,042C,0000,004,010001
01,00A0009004,42D,0000,42D,0000,000,042D,0000,004,010002
02,0104009420,42E,0000,42D,0000,000,042D,0000,004,010003
03,0002009001,42E,0000,42D,0000,000,042D,0000,004,010004
04,8109804002,42E,0000,42D,0000,000,042D,0000,004,010005
05,810C404002,42E,0000,42D,0000,000,042D,0000,004,010006
06,810C204002,42E,0000,42D,0000,000,042D,0000,004,010007
07,8078104002,42E,0000,42D,0000,000,042D,0000,004,010078
78,81A4084002,42E,0000,42D,0000,000,042D,0000,004,010079
79,8189044002,42E,0000,42D,0000,000,042D,0000,004,01007A
7A,817D024002,42E,0000,42D,0000,000,042D,0000,004,01007B
7B,80C4014002,42E,0000,42D,0000,000,042D,0000,004,0100C4
C4,80DE801040,42E,0000,42D,0000,000,042D,0000,004,0100DE
DE,4000000000,42E,0000,42D,0000,000,042D,0000,004,0100DF
DF,8001101040,42E,0000,42D,0000,000,042D,0000,004,010001
01,00A0009004,42E,0000,42E,0000,000,042E,0000,004,010002
02,0104009420,42F,0000,42E,0000,000,042E,0000,004,010003
03,0002009001,42F,0000,42E,0000,000,042E,0000,004,010004
04,8109804002,42F,0000,42E,0000,000,042E,0000,004,010005
05,810C404002,42F,0000,42E,0000,000,042E,0000,004,010006
06,810C204002,42F,0000,42E,0000,000,042E,0000,004,010007
07,8078104002,42F,0000,42E,0000,000,042E,0000,004,010078
78,81A4084002,42F,0000,42E,0000,000,042E,0000,004,010079
79,8189044002,42F,0000,42E,0000,000,042E,0000,004,01007A
7A,817D024002,42F,0000,42E,0000,000,042E,0000,004,01007B
7B,80C4014002,42F,0000,42E,0000,000,042E,0000,004,0100C4
C4,80DE801040,42F,0000,42E,0000,000,042E,0000,004,0100DE
DE,4000000000,42F,0000,42E,0000,000,042E,0000,004,0100DF
DF,8001101040,42F,0000,42E,0000,000,042E,0000,004,010001
01,00A0009004,42F,0000,42F,0000,000,042F,0000,004,010002
02,0104009420,430,0000,42F,0000,000,042F,0000,004,010003
03,0002009001,430,0000,42F,0000,000,042F,0000,004,010004
04,8109804002,430,0000,42F,0000,000,042F,0000,004,010005
05,810C404002,430,0000,42F,0000,000,042F,0000,004,010006
06,810C204002,430,0000,42F,0000,000,042F,0000,004,010007
07,8078104002,430,0000,42F,0000,000,042F,0000,004,010078
78,81A4084002,430,0000,42F,0000,000,042F,0000,004,010079
79,8189044002,430,0000,42F,0000,000,042F,0000,004,01007A
7A,817D024002,430,0000,42F,0000,000,042F,0000,004,01007B
7B,80C4014002,430,0000,42F,0000,000,042F,0000,004,0100C4
C4,80DE801040,430,0000,42F,0000,000,042F,0000,004,0100DE
DE,4000000000,430,0000,42F,0000,000,042F,0000,004,0100DF
DF,8001101040,430,0000,42F,0000,000,042F,0000,004,010001
01,00A0009004,430,0000,430,0000,000,0430,0000,004,010002
02,0104009420,431,0000,430,0000,000,0430,0000,004,010003
03,0002009001,431,0000,430,0000,000,0430,0000,004,010004
04,8109804002,431,0000,430,0000,000,0430,0000,004,010005
05,810C404002,431,0000,430,0000,000,0430,0000,004,010006
06,810C204002,431,0000,430,0000,000,0430,0000,004,010007
07,8078104002,431,0000,430,0000,000,0430,0000,004,010078
78,81A4084002,431,0000,430,0000,000,0430,0000,004,010079
79,8189044002,431,0000,430,0000,000,0430,0000,004,01007A
7A,817D024002,431,0000,430,0000,000,0430,0000,004,01007B
7B,80C4014002,431,0000,430,0000,000,0430,0000,004,0100C4
C4,80DE801040,431,0000,430,0000,000,0430,0000,004,0100DE
DE,4000000000,431,0000,430,0000,000,0430,0000,004,0100DF
DF,8001101040,431,0000,430,0000,000,0430,0000,004,010001
01,00A0009004,431,0000,431,0000,000,0431,0000,004,010002
02,0104009420,432,0000,431,0000,000,0431,0000,004,010003
03,0002009001,432,0000,431,0000,000,0431,0000,004,010004
04,8109804002,432,0000,431,0000,000,0431,0000,004,010005
05,810C404002,432,0000,431,0000,000,0431,0000,004,010006
06,810C204002,432,0000,431,0000,000,0431,0000,004,010007
07,8078104002,432,0000,431,0000,000,0431,0000,004,010078
78,81A4084002,432,0000,431,0000,000,0431,0000,004,010079
79,8189044002,432,0000,431,0000,000,0431,0000,004,01007A
7A,817D024002,432,0000,431,0000,000,0431,0000,004,01007B
7B,80C4014002,432,0000,431,0000,000,0431,0000,004,0100C4
C4,80DE801040,432,0000,431,0000,000,0431,0000,004,0100DE
DE,4000000000,432,0000,431,0000,000,0431,0000,004,0100DF
DF,8001101040,432,0000,431,0000,000,0431,0000,004,010001
01,00A0009004,432,0000,432,0000,000,0432,0000,004,010002
02,0104009420,433,0000,432,0000,000,0432,0000,004,010003
03,0002009001,433,0000,432,0000,000,0432,0000,004,010004
04,8109804002,433,0000,432,0000,000,0432,0000,004,010005
05,810C404002,433,0000,432,0000,000,0432,0000,004,010006
06,810C204002,433,0000,432,0000,000,0432,0000,004,010007
07,8078104002,433,0000,432,0000,000,0432,0000,004,010078
78,81A4084002,433,0000,432,0000,000,0432,0000,004,010079
79,8189044002,433,0000,432,0000,000,0432,0000,004,01007A
7A,817D024002,433,0000,432,0000,000,0432,0000,004,01007B
7B,80C4014002,433,0000,432,0000,000,0432,0000,004,0100C4
C4,80DE801040,433,0000,432,0000,000,0432,0000,004,0100DE
DE,4000000000,433,0000,432,0000,000,0432,0000,004,0100DF
DF,8001101040,433,0000,432,0000,000,0432,0000,004,010001
01,00A0009004,433,0000,433,0000,000,0433,0000,004,010002
02,0104009420,434,0000,433,0000,000,0433,0000,004,010003
03,0002009001,434,0000,433,0000,000,0433,0000,004,010004
04,8109804002,434,0000,433,0000,000,0433,0000,004,010005
05,810C404002,434,0000,433,0000,000,0433,0000,004,010006
06,810C204002,434,0000,433,0000,000,0433,0000,004,010007
07,8078104002,434,0000,433,0000,000,0433,0000,004,010078
78,81A4084002,434,0000,433,0000,000,0433,0000,004,010079
79,8189044002,434,0000,433,0000,000,0433,0000,004,01007A
7A,817D024002,434,0000,433,0000,000,0433,0000,004,01007B
7B,80C4014002,434,0000,433,0000,000,0433,0000,004,0100C4
C4,80DE801040,434,0000,433,0000,000,0433,0000,004,0100DE
DE,4000000000,434,0000,433,0000,000,0433,0000,004,0100DF
DF,8001101040,434,0000,433,0000,000,0433,0000,004,010001
01,00A0009004,434,0000,434,0000,000,0434,0000,004,010002
02,0104009420,435,0000,434,0000,000,0434,0000,004,010003
03,0002009001,435,0000,434,0000,000,0434,0000,004,010004
04,8109804002,435,0000,434,0000,000,0434,0000,004,010005
05,810C404002,435,0000,434,0000,000,0434,0000,004,010006
06,810C204002,435,0000,434,0000,000,0434,0000,004,010007
07,8078104002,435,0000,434,0000,000,0434,0000,004,010078
78,81A4084002,435,0000,434,0000,000,0434,0000,004,010079
79,8189044002,435,0000,434,0000,000,0434,0000,004,01007A
7A,817D024002,435,0000,434,0000,000,0434,0000,004,01007B
7B,80C4014002,435,0000,434,0000,000,0434,0000,004,0100C4
C4,80DE801040,435,0000,434,0000,000,0434,0000,004,0100DE
DE,4000000000,435,0000,434,0000,000,0434,0000,004,0100DF
DF,8001101040,435,0000,434,0000,000,0434,0000,004,010001
01,00A0009004,435,0000,435,0000,000,0435,0000,004,010002
02,0104009420,436,0000,435,0000,000,0435,0000,004,010003
03,0002009001,436,0000,435,0000,000,0435,0000,004,010004
04,8109804002,436,0000,435,0000,000,0435,0000,004,010005
05,810C404002,436,0000,435,0000,000,0435,0000,004,010006
06,810C204002,436,0000,435,0000,000,0435,0000,004,010007
07,8078104002,436,0000,435,0000,000,0435,0000,004,010078
78,81A4084002,436,0000,435,0000,000,0435,0000,004,010079
79,8189044002,436,0000,435,0000,000,0435,0000,004,01007A
7A,817D024002,436,0000,435,0000,000,0435,0000,004,01007B
7B,80C4014002,436,0000,435,0000,000,0435,0000,004,0100C4
C4,80DE801040,436,0000,435,0000,000,0435,0000,004,0100DE
DE,4000000000,436,0000,435,0000,000,0435,0000,004,0100DF
DF,8001101040,436,0000,435,0000,000,0435,0000,004,010001
01,00A0009004,436,0000,436,0000,000,0436,0000,004,010002
02,0104009420,437,0000,436,0000,000,0436,0000,004,010003
03,0002009001,437,0000,436,0000,000,0436,0000,004,010004
04,8109804002,437,0000,436,0000,000,0436,0000,004,010005
05,810C404002,437,0000,436,0000,000,0436,0000,004,010006
06,810C204002,437,0000,436,0000,000,0436,0000,004,010007
07,8078104002,437,0000,436,0000,000,0436,0000,004,010078
78,81A4084002,437,0000,436,0000,000,0436,0000,004,010079
79,8189044002,437,0000,436,0000,000,0436,0000,004,01007A
7A,817D024002,437,0000,436,0000,000,0436,0000,004,01007B
7B,80C4014002,437,0000,436,0000,000,0436,0000,004,0100C4
C4,80DE801040,437,0000,436,0000,000,0436,0000,004,0100DE
DE,4000000000,437,0000,436,0000,000,0436,0000,004,0100DF
DF,8001101040,437,0000,436,0000,000,0436,0000,004,010001
01,00A0009004,437,0000,437,0000,000,0437,0000,004,010002
02,0104009420,438,0000,437,0000,000,0437,0000,004,010003
03,0002009001,438,0000,437,0000,000,0437,0000,004,010004
04,8109804002,438,0000,437,0000,000,0437,0000,004,010005
05,810C404002,438,0000,437,0000,000,0437,0000,004,010006
06,810C204002,438,0000,437,0000,000,0437,0000,004,010007
07,8078104002,438,0000,437,0000,000,0437,0000,004,010078
78,81A4084002,438,0000,437,0000,000,0437,0000,004,010079
79,8189044002,438,0000,437,0000,000,0437,0000,004,01007A
7A,817D024002,438,0000,437,0000,000,0437,0000,004,01007B
7B,80C4014002,438,0000,437,0000,000,0437,0000,004,0100C4
C4,80DE801040,438,0000,437,0000,000,0437,0000,004,0100DE
DE,4000000000,438,0000,437,0000,000,0437,0000,004,0100DF
DF,8001101040,438,0000,437,0000,000,0437,0000,004,010001
01,00A0009004,438,0000,438,0000,000,0438,0000,004,010002
02,0104009420,439,0000,438,0000,000,0438,0000,004,010003
03,0002009001,439,0000,438,0000,000,0438,0000,004,010004
04,8109804002,439,0000,438,0000,000,0438,0000,004,010005
05,810C404002,439,0000,438,0000,000,0438,0000,004,010006
06,810C204002,439,0000,438,0000,000,0438,0000,004,010007
07,8078104002,439,0000,438,0000,000,0438,0000,004,010078
78,81A4084002,439,0000,438,0000,000,0438,0000,004,010079
79,8189044002,439,0000,438,0000,000,0438,0000,004,01007A
7A,817D024002,439,0000,438,0000,000,0438,0000,004,01007B
7B,80C4014002,439,0000,438,0000,000,0438,0000,004,0100C4
C4,80DE801040,439,0000,438,0000,000,0438,0000,004,0100DE
DE,4000000000,439,0000,438,0000,000,0438,0000,004,0100DF
DF,8001101040,439,0000,438,0000,000,0438,0000,004,010001
01,00A0009004,439,0000,439,0000,000,0439,0000,004,010002
02,0104009420,43A,0000,439,0000,000,0439,0000,004,010003
03,0002009001,43A,0000,439,0000,000,0439,0000,004,010004
04,8109804002,43A,0000,439,0000,000,0439,0000,004,010005
05,810C404002,43A,0000,439,0000,000,0439,0000,004,010006
06,810C204002,43A,0000,439,0000,000,0439,0000,004,010007
07,8078104002,43A,0000,439,0000,000,0439,0000,004,010078
78,81A4084002,43A,0000,439,0000,000,0439,0000,004,010079
79,8189044002,43A,0000,439,0000,000,0439,0000,004,01007A
7A,817D024002,43A,0000,439,0000,000,0439,0000,004,01007B
7B,80C4014002,43A,0000,439,0000,000,0439,0000,004,0100C4
C4,80DE801040,43A,0000,439,0000,000,0439,0000,004,0100DE
DE,4000000000,43A,0000,439,0000,000,0439,0000,004,0100DF
DF,8001101040,43A,0000,439,0000,000,0439,0000,004,010001
01,00A0009004,43A,0000,43A,0000,000,043A,0000,004,010002
02,0104009420,43B,0000,43A,0000,000,043A,0000,004,010003
03,0002009001,43B,0000,43A,0000,000,043A,0000,004,010004
04,8109804002,43B,0000,43A,0000,000,043A,0000,004,010005
05,810C404002,43B,0000,43A,0000,000,043A,0000,004,010006
06,810C204002,43B,0000,43A,0000,000,043A,0000,004,010007
07,8078104002,43B,0000,43A,0000,000,043A,0000,004,010078
78,81A4084002,43B,0000,43A,0000,000,043A,0000,004,010079
79,8189044002,43B,0000,43A,0000,000,043A,0000,004,01007A
7A,817D024002,43B,0000,43A,0000,000,043A,0000,004,01007B
7B,80C4014002,43B,0000,43A,0000,000,043A,0000,004,0100C4
C4,80DE801040,43B,0000,43A,0000,000,043A,0000,004,0100DE
DE,4000000000,43B,0000,43A,0000,000,043A,0000,004,0100DF
DF,8001101040,43B,0000,43A,0000,000,043A,0000,004,010001
01,00A0009004,43B,0000,43B,0000,000,043B,0000,004,010002
02,0104009420,43C,0000,43B,0000,000,043B,0000,004,010003
03,0002009001,43C,0000,43B,0000,000,043B,0000,004,010004
04,8109804002,43C,0000,43B,0000,000,043B,0000,004,010005
05,810C404002,43C,0000,43B,0000,000,043B,0000,004,010006
06,810C204002,43C,0000,43B,0000,000,043B,0000,004,010007
07,8078104002,43C,0000,43B,0000,000,043B,0000,004,010078
78,81A4084002,43C,0000,43B,0000,000,043B,0000,004,010079
79,8189044002,43C,0000,43B,0000,000,043B,0000,004,01007A
7A,817D024002,43C,0000,43B,0000,000,043B,0000,004,01007B
7B,80C4014002,43C,0000,43B,0000,000,043B,0000,004,0100C4
C4,80DE801040,43C,0000,43B,0000,000,043B,0000,004,0100DE
DE,4000000000,43C,0000,43B,0000,000,043B,0000,004,0100DF
DF,8001101040,43C,0000,43B,0000,000,043B,0000,004,010001
01,00A0009004,43C,0000,43C,0000,000,043C,0000,004,010002
02,0104009420,43D,0000,43C,0000,000,043C,0000,004,010003
03,0002009001,43D,0000,43C,0000,000,043C,0000,004,010004
04,8109804002,43D,0000,43C,0000,000,043C,0000,004,010005
05,810C404002,43D,0000,43C,0000,000,043C,0000,004,010006
06,810C204002,43D,0000,43C,0000,000,043C,0000,004,010007
07,8078104002,43D,0000,43C,0000,000,043C,0000,004,010078
78,81A4084002,43D,0000,43C,0000,000,043C,0000,004,010079
79,8189044002,43D,0000,43C,0000,000,043C,0000,004,01007A
7A,817D024002,43D,0000,43C,0000,000,043C,0000,004,01007B
7B,80C4014002,43D,0000,43C,0000,000,043C,0000,004,0100C4
C4,80DE801040,43D,0000,43C,0000,000,043C,0000,004,0100DE
DE,4000000000,43D,0000,43C,0000,000,043C,0000,004,0100DF
DF,8001101040,43D,0000,43C,0000,000,043C,0000,004,010001
01,00A0009004,43D,0000,43D,0000,000,043D,0000,004,010002
02,0104009420,43E,0000,43D,0000,000,043D,0000,004,010003
03,0002009001,43E,0000,43D,0000,000,043D,0000,004,010004
04,8109804002,43E,0000,43D,0000,000,043D,0000,004,010005
05,810C404002,43E,0000,43D,0000,000,043D,0000,004,010006
06,810C204002,43E,0000,43D,0000,000,043D,0000,004,010007
07,8078104002,43E,0000,43D,0000,000,043D,0000,004,010078
78,81A4084002,43E,0000,43D,0000,000,043D,0000,004,010079
79,8189044002,43E,0000,43D,0000,000,043D,0000,004,01007A
7A,817D024002,43E,0000,43D,0000,000,043D,0000,004,01007B
7B,80C4014002,43E,0000,43D,0000,000,043D,0000,004,0100C4
C4,80DE801040,43E,0000,43D,0000,000,043D,0000,004,0100DE
DE,4000000000,43E,0000,43D,0000,000,043D,0000,004,0100DF
DF,8001101040,43E,0000,43D,0000,000,043D,0000,004,010001
01,00A0009004,43E,0000,43E,0000,000,043E,0000,004,010002
02,0104009420,43F,0000,43E,0000,000,043E,0000,004,010003
03,0002009001,43F,0000,43E,0000,000,043E,0000,004,010004
04,8109804002,43F,0000,43E,0000,000,043E,0000,004,010005
05,810C404002,43F,0000,43E,0000,000,043E,0000,004,010006
06,810C204002,43F,0000,43E,0000,000,043E,0000,004,010007
07,8078104002,43F,0000,43E,0000,000,043E,0000,004,010078
78,81A4084002,43F,0000,43E,0000,000,043E,0000,004,010079
79,8189044002,43F,0000,43E,0000,000,043E,0000,004,01007A
7A,817D024002,43F,0000,43E,0000,000,043E,0000,004,01007B
7B,80C4014002,43F,0000,43E,0000,000,043E,0000,004,0100C4
C4,80DE801040,43F,0000,43E,0000,000,043E,0000,004,0100DE
DE,4000000000,43F,0000,43E,0000,000,043E,0000,004,0100DF
DF,8001101040,43F,0000,43E,0000,000,043E,0000,004,010001
01,00A0009004,43F,0000,43F,0000,000,043F,0000,004,010002
02,0104009420,440,0000,43F,0000,000,043F,0000,004,010003
03,0002009001,440,0000,43F,0000,000,043F,0000,004,010004
04,8109804002,440,0000,43F,0000,000,043F,0000,004,010005
05,810C404002,440,0000,43F,0000,000,043F,0000,004,010006
06,810C204002,440,0000,43F,0000,000,043F,0000,004,010007
07,8078104002,440,0000,43F,0000,000,043F,0000,004,010078
78,81A4084002,440,0000,43F,0000,000,043F,0000,004,010079
79,8189044002,440,0000,43F,0000,000,043F,0000,004,01007A
7A,817D024002,440,0000,43F,0000,000,043F,0000,004,01007B
7B,80C4014002,440,0000,43F,0000,000,043F,0000,004,0100C4
C4,80DE801040,440,0000,43F,0000,000,043F,0000,004,0100DE
DE,4000000000,440,0000,43F,0000,000,043F,0000,004,0100DF
DF,8001101040,440,0000,43F,0000,000,043F,0000,004,010001
01,00A0009004,440,0000,440,0000,000,0440,0000,004,010002
02,0104009420,441,0000,440,0000,000,0440,0000,004,010003
03,0002009001,441,0000,440,0000,000,0440,0000,004,010004
04,8109804002,441,0000,440,0000,000,0440,0000,004,010005
05,810C404002,441,0000,440,0000,000,0440,0000,004,010006
06,810C204002,441,0000,440,0000,000,0440,0000,004,010007
07,8078104002,441,0000,440,0000,000,0440,0000,004,010078
78,81A4084002,441,0000,440,0000,000,0440,0000,004,010079
79,8189044002,441,0000,440,0000,000,0440,0000,004,01007A
7A,817D024002,441,0000,440,0000,000,0440,0000,004,01007B
7B,80C4014002,441,0000,440,0000,000,0440,0000,004,0100C4
C4,80DE801040,441,0000,440,0000,000,0440,0000,004,0100DE
DE,4000000000,441,0000,440,0000,000,0440,0000,004,0100DF
DF,8001101040,441,0000,440,0000,000,0440,0000,004,010001
01,00A0009004,441,0000,441,0000,000,0441,0000,004,010002
02,0104009420,442,0000,441,0000,000,0441,0000,004,010003
03,0002009001,442,0000,441,0000,000,0441,0000,004,010004
04,8109804002,442,0000,441,0000,000,0441,0000,004,010005
05,810C404002,442,0000,441,0000,000,0441,0000,004,010006
06,810C204002,442,0000,441,0000,000,0441,0000,004,010007
07,8078104002,442,0000,441,0000,000,0441,0000,004,010078
78,81A4084002,442,0000,441,0000,000,0441,0000,004,010079
79,8189044002,442,0000,441,0000,000,0441,0000,004,01007A
7A,817D024002,442,0000,441,0000,000,0441,0000,004,01007B
7B,80C4014002,442,0000,441,0000,000,0441,0000,004,0100C4
C4,80DE801040,442,0000,441,0000,000,0441,0000,004,0100DE
DE,4000000000,442,0000,441,0000,000,0441,0000,004,0100DF
DF,8001101040,442,0000,441,0000,000,0441,0000,004,010001
01,00A0009004,442,0000,442,0000,000,0442,0000,004,010002
02,0104009420,443,0000,442,0000,000,0442,0000,004,010003
03,0002009001,443,0000,442,0000,000,0442,0000,004,010004
04,8109804002,443,0000,442,0000,000,0442,0000,004,010005
05,810C404002,443,0000,442,0000,000,0442,0000,004,010006
06,810C204002,443,0000,442,0000,000,0442,0000,004,010007
